|R01|00000000000000000001|S|IF     |SWEDA               |????????????????????|01.00.01  |20110215|182942|003|10793118000177|0751990400114 |10793118000178|00000000ISENTO|00000000ISENTO|T2TI.COM                                |T2TI_PAF_ECF                            |1.0.0     |9e107d9d372bb6826bd81d3542a419d6|20110101|20111231|0105
|R02|00000000000000000001|S|????????????????????|01|000000|000007|000001|20110207|20110214|140905|10,70| 
|R02|00000000000000000001|S|????????????????????|01|000000|000008|000001|20110207|20110214|151427|10,70| 
|R02|00000000000000000001|S|????????????????????|01|000001|000011|000001|20110214|20110214|151545|1,50| 
|R02|00000000000000000001|S|????????????????????|01|000002|000012|000001|20110214|20110214|152130|0,00| 
|R02|00000000000000000001|S|????????????????????|01|000002|000012|000001|20110214|20110214|152741|0,00| 
|R02|00000000000000000001|S|????????????????????|01|000019|000200|000020|20110204|20110204|154747|0,00| 
|R02|00000000000000000001|S|????????????????????|01|000019|000200|000020|20110204|20110204|155242|0,00| 
|R02|00000000000000000001|S|????????????????????|01|000019|000200|000020|20110204|20110204|160058|0,00| 
|R02|00000000000000000001|S|????????????????????|01|000019|000200|000020|20110204|20110204|161016|0,00| 
|R02|00000000000000000001|S|????????????????????|01|000019|000200|000020|20110204|20110204|161748|0,00| 
|R02|00000000000000000001|S|????????????????????|01|000019|000200|000020|20110204|20110204|162004|0,00| 
|R02|00000000000000000001|S|????????????????????|01|000019|000205|000020|20110204|20110214|163209|0,00| 
|R03|00000000000000000001|S|????????????????????|01|000000|AS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|AS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|AT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|AT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|Can-S  |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|Can-S  |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|Can-T  |10,70
|R03|00000000000000000001|S|????????????????????|01|000000|Can-T  |10,70
|R03|00000000000000000001|S|????????????????????|01|000000|DS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|DS     |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|DT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|DT     |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|F1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|F1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|FS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|FS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|I1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|I1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|IS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|IS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|N1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|N1     |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|NS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|NS1    |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|OPNF   |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|OPNF   |0,00
|R03|00000000000000000001|S|????????????????????|01|000000|T01T170|0,00
|R03|00000000000000000001|S|????????????????????|01|000000|T01T170|0,00
|R03|00000000000000000001|S|????????????????????|01|000000|T02T050|0,00
|R03|00000000000000000001|S|????????????????????|01|000000|T02T050|0,00
|R03|00000000000000000001|S|????????????????????|01|000000|T03T070|0,00
|R03|00000000000000000001|S|????????????????????|01|000000|T03T070|0,00
